Month,Year,site_name,line_out_depth,NS_Lat,NS_Long,events_n,salinity_ysi_mean,salinity_ysi_min,salinity_ysi_max,temp_ysi_mean,temp_ysi_min,temp_ysi_max,ph_ysi_mean,ph_ysi_min,ph_ysi_max,salinity_psu_ctd_mean,salinity_psu_ctd_min,salinity_psu_ctd_max,temp_C_ctd_mean,temp_C_ctd_min,temp_C_ctd_max,no2_no3_mean,no2_no3_min,no2_no3_max,po4_mean,po4_min,po4_max,chla_mean,chla_min,chla_max,phaeo_mean,phaeo_min,phaeo_max
7,2015,Choked_Sandspit,0,51.680508,-128.115208,2,30.7,30.7,30.7,11.2,11.2,11.2,7.9,7.9,7.9,29.6922,29.6922,29.6922,13.019,13.019,13.019,5.023589379,5.023589379,5.023589379,0.563457335,0.563457335,0.563457335,4.544394831,4.544394831,4.544394831,1.391925724,1.391925724,1.391925724
7,2015,Choked_Sandspit,3,51.680508,-128.115208,2,31.2,31.2,31.2,11.75,10.6,12.9,7.95,7.9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2015,Choked_Sandspit,5,51.680508,-128.115208,2,31.1,31.1,31.1,10.8,10.8,10.8,7.9,7.9,7.9,31.2199,31.2199,31.2199,11.2238,11.2238,11.2238,9.922498334,9.922498334,9.922498334,1.07962046,1.07962046,1.07962046,1.597349571,1.597349571,1.597349571,0.94589411,0.94589411,0.94589411
7,2015,Choked_Sandspit,10,51.680508,-128.115208,2,31.4,31.4,31.4,11.35,10.2,12.5,7.95,7.9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2015,Wolf_Beach,0,51.66825,-128.11855,1,31.4,31.4,31.4,13.3,13.3,13.3,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2015,Wolf_Beach,1,51.66825,-128.11855,2,31.25,31,31.5,12.2,11.2,13.2,7.9,7.8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2015,Wolf_Beach,2,51.66825,-128.11855,1,31.2,31.2,31.2,10.7,10.7,10.7,7.9,7.9,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2015,Wolf_Beach,5,51.66825,-128.11855,1,31.7,31.7,31.7,12.6,12.6,12.6,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2015,Choked_Sandspit,0,51.6796333,-128.1170667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4066,30.4066,30.4066,14.9629,14.9629,14.9629,2.303216081,2.303216081,2.303216081,0.43050206,0.43050206,0.43050206,2.68119241,2.68119241,2.68119241,3.406507154,3.406507154,3.406507154
8,2015,Choked_Sandspit,5,51.6796333,-128.1170667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8919,30.8919,30.8919,13.575,13.575,13.575,4.438880036,4.438880036,4.438880036,0.568988355,0.568988355,0.568988355,3.250169478,3.250169478,3.250169478,1.446360327,1.446360327,1.446360327
9,2015,Choked_Sandspit,0,51.680508,-128.115208,3,30.9,30.9,30.9,11.2,11.2,11.2,7.8,7.8,7.8,30.72115,30.3743,31.068,11.8249,11.1605,12.4893,12.30777391,9.504561296,15.11098651,1.1725,0.982,1.363,1.282124572,0.831176142,1.733073001,1.072672029,0.997192651,1.148151407
9,2015,Choked_Sandspit,1,51.680508,-128.115208,1,30.9,30.9,30.9,11.2,11.2,11.2,7.8,7.8,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2015,Choked_Sandspit,2,51.680508,-128.115208,1,30.9,30.9,30.9,11.2,11.2,11.2,7.9,7.9,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2015,Choked_Sandspit,5,51.680508,-128.115208,3,30.9,30.9,30.9,11.1,11.1,11.1,7.9,7.9,7.9,30.8408,30.3946,31.287,11.83,11.1934,12.4666,12.44627147,9.599338834,15.29320411,1.1965,1.01,1.383,1.033912162,0.654189446,1.413634878,0.869819818,0.847217092,0.892422544
10,2015,Choked_Sandspit,0,51.6796333,-128.1170667,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8094,29.0067,30.6121,11.58105,11.4514,11.7107,12.98073176,11.11173379,14.84972972,1.2025,1.087,1.318,1.321187639,0.602462556,2.039912722,1.323313064,0.604085168,2.042540959
10,2015,Choked_Sandspit,5,51.6796333,-128.1170667,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.05345,29.2106,30.8963,11.5608,11.3578,11.7638,13.14442332,11.33461925,14.95422738,1.1975,1.09,1.305,1.109770239,0.602491426,1.617049051,1.002027912,0.701769555,1.302286269
